timestamp,staypoint_subzone,total_stay,total_stay_duration
2018-01-03T00:00:00.000+08:00,SBSZ05,2029,980057
2018-01-03T01:00:00.000+08:00,SBSZ05,271,122761
2018-01-03T02:00:00.000+08:00,SBSZ05,72,18719
2018-01-03T03:00:00.000+08:00,SBSZ05,61,16908
2018-01-03T04:00:00.000+08:00,SBSZ05,69,11285
2018-01-03T05:00:00.000+08:00,SBSZ05,108,18166
2018-01-03T06:00:00.000+08:00,SBSZ05,327,85080
2018-01-03T07:00:00.000+08:00,SBSZ05,740,176092
2018-01-03T08:00:00.000+08:00,SBSZ05,529,107309
2018-01-03T09:00:00.000+08:00,SBSZ05,412,73262
2018-01-03T10:00:00.000+08:00,SBSZ05,379,65190
2018-01-03T11:00:00.000+08:00,SBSZ05,394,56007
2018-01-03T12:00:00.000+08:00,SBSZ05,355,51246
2018-01-03T13:00:00.000+08:00,SBSZ05,400,60870
2018-01-03T14:00:00.000+08:00,SBSZ05,421,59627
2018-01-03T15:00:00.000+08:00,SBSZ05,386,54190
2018-01-03T16:00:00.000+08:00,SBSZ05,413,56017
2018-01-03T17:00:00.000+08:00,SBSZ05,390,55825
2018-01-03T18:00:00.000+08:00,SBSZ05,593,82234
2018-01-03T19:00:00.000+08:00,SBSZ05,554,74621
2018-01-03T20:00:00.000+08:00,SBSZ05,459,49706
2018-01-03T21:00:00.000+08:00,SBSZ05,400,35398
2018-01-03T22:00:00.000+08:00,SBSZ05,309,18595
2018-01-03T23:00:00.000+08:00,SBSZ05,134,3744
2018-01-03T00:00:00.000+08:00,PLSZ04,1269,337874
2018-01-03T01:00:00.000+08:00,PLSZ04,440,79324
2018-01-03T02:00:00.000+08:00,PLSZ04,221,26243
2018-01-03T03:00:00.000+08:00,PLSZ04,217,23140
2018-01-03T04:00:00.000+08:00,PLSZ04,181,14024
2018-01-03T05:00:00.000+08:00,PLSZ04,225,17125
2018-01-03T06:00:00.000+08:00,PLSZ04,332,37322
2018-01-03T07:00:00.000+08:00,PLSZ04,965,138258
2018-01-03T08:00:00.000+08:00,PLSZ04,945,118929
2018-01-03T09:00:00.000+08:00,PLSZ04,771,64930
2018-01-03T10:00:00.000+08:00,PLSZ04,795,55726
2018-01-03T11:00:00.000+08:00,PLSZ04,666,46592
2018-01-03T12:00:00.000+08:00,PLSZ04,848,63028
2018-01-03T13:00:00.000+08:00,PLSZ04,848,65773
2018-01-03T14:00:00.000+08:00,PLSZ04,732,47757
2018-01-03T15:00:00.000+08:00,PLSZ04,779,50258
2018-01-03T16:00:00.000+08:00,PLSZ04,693,41423
2018-01-03T17:00:00.000+08:00,PLSZ04,617,41704
2018-01-03T18:00:00.000+08:00,PLSZ04,563,36704
2018-01-03T19:00:00.000+08:00,PLSZ04,626,54717
2018-01-03T20:00:00.000+08:00,PLSZ04,583,44132
2018-01-03T21:00:00.000+08:00,PLSZ04,547,37080
2018-01-03T22:00:00.000+08:00,PLSZ04,521,28856
2018-01-03T23:00:00.000+08:00,PLSZ04,270,8169
2018-01-03T00:00:00.000+08:00,BMSZ07,5133,2564537
2018-01-03T01:00:00.000+08:00,BMSZ07,803,354141
2018-01-03T02:00:00.000+08:00,BMSZ07,224,62349
2018-01-03T03:00:00.000+08:00,BMSZ07,200,40554
2018-01-03T04:00:00.000+08:00,BMSZ07,225,46746
2018-01-03T05:00:00.000+08:00,BMSZ07,267,51216
2018-01-03T06:00:00.000+08:00,BMSZ07,745,163834
2018-01-03T07:00:00.000+08:00,BMSZ07,2064,466802
2018-01-03T08:00:00.000+08:00,BMSZ07,3042,727104
2018-01-03T09:00:00.000+08:00,BMSZ07,2986,558860
2018-01-03T10:00:00.000+08:00,BMSZ07,2739,378844
2018-01-03T11:00:00.000+08:00,BMSZ07,2759,302359
2018-01-03T12:00:00.000+08:00,BMSZ07,2965,278277
2018-01-03T13:00:00.000+08:00,BMSZ07,2645,283074
2018-01-03T14:00:00.000+08:00,BMSZ07,2510,262961
2018-01-03T15:00:00.000+08:00,BMSZ07,2184,209212
2018-01-03T16:00:00.000+08:00,BMSZ07,2288,218088
2018-01-03T17:00:00.000+08:00,BMSZ07,2408,247700
2018-01-03T18:00:00.000+08:00,BMSZ07,2869,299436
2018-01-03T19:00:00.000+08:00,BMSZ07,2400,255653
2018-01-03T20:00:00.000+08:00,BMSZ07,1724,162922
2018-01-03T21:00:00.000+08:00,BMSZ07,1261,101991
2018-01-03T22:00:00.000+08:00,BMSZ07,876,50342
2018-01-03T23:00:00.000+08:00,BMSZ07,367,10931
2018-01-03T00:00:00.000+08:00,BMSZ06,842,416944
2018-01-03T01:00:00.000+08:00,BMSZ06,119,48754
2018-01-03T02:00:00.000+08:00,BMSZ06,40,5525
2018-01-03T03:00:00.000+08:00,BMSZ06,40,5205
2018-01-03T04:00:00.000+08:00,BMSZ06,40,6384
2018-01-03T05:00:00.000+08:00,BMSZ06,40,5218
2018-01-03T06:00:00.000+08:00,BMSZ06,250,59966
2018-01-03T07:00:00.000+08:00,BMSZ06,521,110733
2018-01-03T08:00:00.000+08:00,BMSZ06,417,80613
2018-01-03T09:00:00.000+08:00,BMSZ06,405,61771
2018-01-03T10:00:00.000+08:00,BMSZ06,288,39138
2018-01-03T11:00:00.000+08:00,BMSZ06,279,33962
2018-01-03T12:00:00.000+08:00,BMSZ06,228,29800
2018-01-03T13:00:00.000+08:00,BMSZ06,306,30757
2018-01-03T14:00:00.000+08:00,BMSZ06,271,32581
2018-01-03T15:00:00.000+08:00,BMSZ06,278,28739
2018-01-03T16:00:00.000+08:00,BMSZ06,208,23150
2018-01-03T17:00:00.000+08:00,BMSZ06,262,33637
2018-01-03T18:00:00.000+08:00,BMSZ06,323,39054
2018-01-03T19:00:00.000+08:00,BMSZ06,274,33303
2018-01-03T20:00:00.000+08:00,BMSZ06,223,22667
2018-01-03T21:00:00.000+08:00,BMSZ06,189,16963
2018-01-03T22:00:00.000+08:00,BMSZ06,159,9222
2018-01-03T23:00:00.000+08:00,BMSZ06,57,1618
2018-01-03T00:00:00.000+08:00,GLSZ04,20612,9129195
2018-01-03T01:00:00.000+08:00,GLSZ04,3336,1191013
2018-01-03T02:00:00.000+08:00,GLSZ04,1250,262645
2018-01-03T03:00:00.000+08:00,GLSZ04,1042,206209
2018-01-03T04:00:00.000+08:00,GLSZ04,830,173534
2018-01-03T05:00:00.000+08:00,GLSZ04,977,157247
2018-01-03T06:00:00.000+08:00,GLSZ04,2703,544124
2018-01-03T07:00:00.000+08:00,GLSZ04,5227,895526
2018-01-03T08:00:00.000+08:00,GLSZ04,6549,1107973
2018-01-03T09:00:00.000+08:00,GLSZ04,6086,848829
2018-01-03T10:00:00.000+08:00,GLSZ04,5654,653058
2018-01-03T11:00:00.000+08:00,GLSZ04,6068,586810
2018-01-03T12:00:00.000+08:00,GLSZ04,6881,624721
2018-01-03T13:00:00.000+08:00,GLSZ04,6248,604556
2018-01-03T14:00:00.000+08:00,GLSZ04,6021,588416
2018-01-03T15:00:00.000+08:00,GLSZ04,5612,571707
2018-01-03T16:00:00.000+08:00,GLSZ04,5555,579641
2018-01-03T17:00:00.000+08:00,GLSZ04,6958,792309
2018-01-03T18:00:00.000+08:00,GLSZ04,9368,1035146
2018-01-03T19:00:00.000+08:00,GLSZ04,9459,1061675
2018-01-03T20:00:00.000+08:00,GLSZ04,7200,701360
2018-01-03T21:00:00.000+08:00,GLSZ04,5997,476920
2018-01-03T22:00:00.000+08:00,GLSZ04,4994,283028
2018-01-03T23:00:00.000+08:00,GLSZ04,2184,64060
2018-01-03T00:00:00.000+08:00,BTSZ01,5388,2469839
2018-01-03T01:00:00.000+08:00,BTSZ01,894,341511
2018-01-03T02:00:00.000+08:00,BTSZ01,293,56705
2018-01-03T03:00:00.000+08:00,BTSZ01,275,45147
2018-01-03T04:00:00.000+08:00,BTSZ01,274,52786
2018-01-03T05:00:00.000+08:00,BTSZ01,355,45548
2018-01-03T06:00:00.000+08:00,BTSZ01,860,148561
2018-01-03T07:00:00.000+08:00,BTSZ01,2111,418949
2018-01-03T08:00:00.000+08:00,BTSZ01,3762,758684
2018-01-03T09:00:00.000+08:00,BTSZ01,3344,571078
2018-01-03T10:00:00.000+08:00,BTSZ01,2824,372229
2018-01-03T11:00:00.000+08:00,BTSZ01,3611,448065
2018-01-03T12:00:00.000+08:00,BTSZ01,3656,399614
2018-01-03T13:00:00.000+08:00,BTSZ01,2946,303234
2018-01-03T14:00:00.000+08:00,BTSZ01,2695,280510
