timestamp,staypoint_subzone,total_stay,total_stay_duration
2018-01-22T00:00:00.000+08:00,SBSZ05,2188,1046998
2018-01-22T01:00:00.000+08:00,SBSZ05,292,123374
2018-01-22T02:00:00.000+08:00,SBSZ05,84,21474
2018-01-22T03:00:00.000+08:00,SBSZ05,62,14417
2018-01-22T04:00:00.000+08:00,SBSZ05,66,11910
2018-01-22T05:00:00.000+08:00,SBSZ05,104,15746
2018-01-22T06:00:00.000+08:00,SBSZ05,335,76364
2018-01-22T07:00:00.000+08:00,SBSZ05,740,183880
2018-01-22T08:00:00.000+08:00,SBSZ05,637,156456
2018-01-22T09:00:00.000+08:00,SBSZ05,386,67658
2018-01-22T10:00:00.000+08:00,SBSZ05,333,55451
2018-01-22T11:00:00.000+08:00,SBSZ05,350,50334
2018-01-22T12:00:00.000+08:00,SBSZ05,312,53020
2018-01-22T13:00:00.000+08:00,SBSZ05,400,58554
2018-01-22T14:00:00.000+08:00,SBSZ05,346,51077
2018-01-22T15:00:00.000+08:00,SBSZ05,339,48053
2018-01-22T16:00:00.000+08:00,SBSZ05,393,52788
2018-01-22T17:00:00.000+08:00,SBSZ05,450,71512
2018-01-22T18:00:00.000+08:00,SBSZ05,594,92943
2018-01-22T19:00:00.000+08:00,SBSZ05,567,81597
2018-01-22T20:00:00.000+08:00,SBSZ05,467,55089
2018-01-22T21:00:00.000+08:00,SBSZ05,385,35087
2018-01-22T22:00:00.000+08:00,SBSZ05,311,19065
2018-01-22T23:00:00.000+08:00,SBSZ05,123,3725
2018-01-22T00:00:00.000+08:00,PLSZ04,1419,369363
2018-01-22T01:00:00.000+08:00,PLSZ04,443,88271
2018-01-22T02:00:00.000+08:00,PLSZ04,231,29135
2018-01-22T03:00:00.000+08:00,PLSZ04,238,23978
2018-01-22T04:00:00.000+08:00,PLSZ04,201,17105
2018-01-22T05:00:00.000+08:00,PLSZ04,262,21759
2018-01-22T06:00:00.000+08:00,PLSZ04,386,37016
2018-01-22T07:00:00.000+08:00,PLSZ04,954,153310
2018-01-22T08:00:00.000+08:00,PLSZ04,1068,145492
2018-01-22T09:00:00.000+08:00,PLSZ04,942,89756
2018-01-22T10:00:00.000+08:00,PLSZ04,813,60837
2018-01-22T11:00:00.000+08:00,PLSZ04,791,59962
2018-01-22T12:00:00.000+08:00,PLSZ04,842,65862
2018-01-22T13:00:00.000+08:00,PLSZ04,818,62221
2018-01-22T14:00:00.000+08:00,PLSZ04,767,52409
2018-01-22T15:00:00.000+08:00,PLSZ04,757,48999
2018-01-22T16:00:00.000+08:00,PLSZ04,734,47667
2018-01-22T17:00:00.000+08:00,PLSZ04,666,39687
2018-01-22T18:00:00.000+08:00,PLSZ04,679,47116
2018-01-22T19:00:00.000+08:00,PLSZ04,672,53097
2018-01-22T20:00:00.000+08:00,PLSZ04,672,48307
2018-01-22T21:00:00.000+08:00,PLSZ04,601,42424
2018-01-22T22:00:00.000+08:00,PLSZ04,635,34804
2018-01-22T23:00:00.000+08:00,PLSZ04,300,9164
2018-01-22T00:00:00.000+08:00,BMSZ07,5603,2766679
2018-01-22T01:00:00.000+08:00,BMSZ07,903,378823
2018-01-22T02:00:00.000+08:00,BMSZ07,248,58252
2018-01-22T03:00:00.000+08:00,BMSZ07,198,45980
2018-01-22T04:00:00.000+08:00,BMSZ07,190,37130
2018-01-22T05:00:00.000+08:00,BMSZ07,278,53580
2018-01-22T06:00:00.000+08:00,BMSZ07,767,164396
2018-01-22T07:00:00.000+08:00,BMSZ07,2044,453694
2018-01-22T08:00:00.000+08:00,BMSZ07,3324,818059
2018-01-22T09:00:00.000+08:00,BMSZ07,3393,646160
2018-01-22T10:00:00.000+08:00,BMSZ07,2859,375318
2018-01-22T11:00:00.000+08:00,BMSZ07,2692,273427
2018-01-22T12:00:00.000+08:00,BMSZ07,2932,288625
2018-01-22T13:00:00.000+08:00,BMSZ07,2569,272885
2018-01-22T14:00:00.000+08:00,BMSZ07,2573,267513
2018-01-22T15:00:00.000+08:00,BMSZ07,2314,242527
2018-01-22T16:00:00.000+08:00,BMSZ07,2353,241651
2018-01-22T17:00:00.000+08:00,BMSZ07,2429,244302
2018-01-22T18:00:00.000+08:00,BMSZ07,3044,322935
2018-01-22T19:00:00.000+08:00,BMSZ07,2531,271664
2018-01-22T20:00:00.000+08:00,BMSZ07,1777,172918
2018-01-22T21:00:00.000+08:00,BMSZ07,1380,114964
2018-01-22T22:00:00.000+08:00,BMSZ07,1000,58316
2018-01-22T23:00:00.000+08:00,BMSZ07,406,12058
2018-01-22T00:00:00.000+08:00,BMSZ06,954,449234
2018-01-22T01:00:00.000+08:00,BMSZ06,100,41990
2018-01-22T02:00:00.000+08:00,BMSZ06,40,8111
2018-01-22T03:00:00.000+08:00,BMSZ06,40,4938
2018-01-22T04:00:00.000+08:00,BMSZ06,40,3440
2018-01-22T05:00:00.000+08:00,BMSZ06,40,9648
2018-01-22T06:00:00.000+08:00,BMSZ06,212,57721
2018-01-22T07:00:00.000+08:00,BMSZ06,463,116552
2018-01-22T08:00:00.000+08:00,BMSZ06,455,90658
2018-01-22T09:00:00.000+08:00,BMSZ06,366,63185
2018-01-22T10:00:00.000+08:00,BMSZ06,346,43881
2018-01-22T11:00:00.000+08:00,BMSZ06,304,42319
2018-01-22T12:00:00.000+08:00,BMSZ06,261,26029
2018-01-22T13:00:00.000+08:00,BMSZ06,298,32410
2018-01-22T14:00:00.000+08:00,BMSZ06,304,35197
2018-01-22T15:00:00.000+08:00,BMSZ06,269,25016
2018-01-22T16:00:00.000+08:00,BMSZ06,247,25706
2018-01-22T17:00:00.000+08:00,BMSZ06,252,23481
2018-01-22T18:00:00.000+08:00,BMSZ06,332,39836
2018-01-22T19:00:00.000+08:00,BMSZ06,323,38735
2018-01-22T20:00:00.000+08:00,BMSZ06,242,24759
2018-01-22T21:00:00.000+08:00,BMSZ06,217,18279
2018-01-22T22:00:00.000+08:00,BMSZ06,185,10291
2018-01-22T23:00:00.000+08:00,BMSZ06,61,1799
2018-01-22T00:00:00.000+08:00,GLSZ04,23787,10145488
2018-01-22T01:00:00.000+08:00,GLSZ04,3806,1332954
2018-01-22T02:00:00.000+08:00,GLSZ04,1338,265397
2018-01-22T03:00:00.000+08:00,GLSZ04,1072,200578
2018-01-22T04:00:00.000+08:00,GLSZ04,940,166648
2018-01-22T05:00:00.000+08:00,GLSZ04,1094,154553
2018-01-22T06:00:00.000+08:00,GLSZ04,2857,594240
2018-01-22T07:00:00.000+08:00,GLSZ04,5617,1010119
2018-01-22T08:00:00.000+08:00,GLSZ04,6947,1205396
2018-01-22T09:00:00.000+08:00,GLSZ04,6434,939721
2018-01-22T10:00:00.000+08:00,GLSZ04,6067,723265
2018-01-22T11:00:00.000+08:00,GLSZ04,6236,625585
2018-01-22T12:00:00.000+08:00,GLSZ04,6954,667976
2018-01-22T13:00:00.000+08:00,GLSZ04,6407,648530
2018-01-22T14:00:00.000+08:00,GLSZ04,6086,593850
2018-01-22T15:00:00.000+08:00,GLSZ04,5978,589703
2018-01-22T16:00:00.000+08:00,GLSZ04,6159,622851
2018-01-22T17:00:00.000+08:00,GLSZ04,7167,809767
