timestamp,staypoint_subzone,total_stay,total_stay_duration
2018-01-28T00:00:00.000+08:00,SBSZ05,2364,1337799
2018-01-28T01:00:00.000+08:00,SBSZ05,346,165576
2018-01-28T02:00:00.000+08:00,SBSZ05,107,30020
2018-01-28T03:00:00.000+08:00,SBSZ05,104,26075
2018-01-28T04:00:00.000+08:00,SBSZ05,66,14398
2018-01-28T05:00:00.000+08:00,SBSZ05,77,17900
2018-01-28T06:00:00.000+08:00,SBSZ05,212,50593
2018-01-28T07:00:00.000+08:00,SBSZ05,425,108843
2018-01-28T08:00:00.000+08:00,SBSZ05,381,76214
2018-01-28T09:00:00.000+08:00,SBSZ05,412,74717
2018-01-28T10:00:00.000+08:00,SBSZ05,363,53827
2018-01-28T11:00:00.000+08:00,SBSZ05,328,57778
2018-01-28T12:00:00.000+08:00,SBSZ05,355,61255
2018-01-28T13:00:00.000+08:00,SBSZ05,478,84645
2018-01-28T14:00:00.000+08:00,SBSZ05,441,71971
2018-01-28T15:00:00.000+08:00,SBSZ05,396,66556
2018-01-28T16:00:00.000+08:00,SBSZ05,378,61176
2018-01-28T17:00:00.000+08:00,SBSZ05,400,62599
2018-01-28T18:00:00.000+08:00,SBSZ05,444,66284
2018-01-28T19:00:00.000+08:00,SBSZ05,381,52102
2018-01-28T20:00:00.000+08:00,SBSZ05,406,45598
2018-01-28T21:00:00.000+08:00,SBSZ05,412,37810
2018-01-28T22:00:00.000+08:00,SBSZ05,309,18550
2018-01-28T23:00:00.000+08:00,SBSZ05,113,3261
2018-01-28T00:00:00.000+08:00,PLSZ04,1434,418754
2018-01-28T01:00:00.000+08:00,PLSZ04,477,102821
2018-01-28T02:00:00.000+08:00,PLSZ04,294,46068
2018-01-28T03:00:00.000+08:00,PLSZ04,236,30704
2018-01-28T04:00:00.000+08:00,PLSZ04,235,21299
2018-01-28T05:00:00.000+08:00,PLSZ04,211,17016
2018-01-28T06:00:00.000+08:00,PLSZ04,224,18975
2018-01-28T07:00:00.000+08:00,PLSZ04,370,50772
2018-01-28T08:00:00.000+08:00,PLSZ04,490,49923
2018-01-28T09:00:00.000+08:00,PLSZ04,498,43773
2018-01-28T10:00:00.000+08:00,PLSZ04,578,45509
2018-01-28T11:00:00.000+08:00,PLSZ04,603,39927
2018-01-28T12:00:00.000+08:00,PLSZ04,585,47847
2018-01-28T13:00:00.000+08:00,PLSZ04,535,47058
