timestamp,subzone,total_stay
2018-02-25T09:45:00.000+08:00,AMSZ06,6769
2018-02-25T09:45:00.000+08:00,BDSZ03,15493
2018-02-25T09:45:00.000+08:00,QTSZ12,2249
2018-02-25T09:45:00.000+08:00,YSSZ08,2834
2018-02-25T09:45:00.000+08:00,JWSZ06,9630
2018-02-25T09:45:00.000+08:00,TPSZ07,1920
2018-02-25T09:45:00.000+08:00,HGSZ06,4730
2018-02-25T09:45:00.000+08:00,SKSZ01,11077
2018-02-25T09:45:00.000+08:00,JESZ04,6284
2018-02-25T09:45:00.000+08:00,KLSZ06,13703
2018-02-25T09:45:00.000+08:00,BTSZ07,5739
2018-02-25T09:45:00.000+08:00,RVSZ03,3295
2018-02-25T09:45:00.000+08:00,LKSZ01,10471
2018-02-25T09:45:00.000+08:00,RCSZ02,9798
2018-02-25T09:45:00.000+08:00,BLSZ02,4658
2018-02-25T09:45:00.000+08:00,TPSZ05,6502
2018-02-25T09:45:00.000+08:00,HGSZ07,18151
2018-02-25T09:45:00.000+08:00,SGSZ05,4069
2018-02-25T09:45:00.000+08:00,HGSZ10,1550
2018-02-25T09:45:00.000+08:00,SESZ01,147
2018-02-25T09:45:00.000+08:00,YSSZ05,6692
2018-02-25T09:45:00.000+08:00,PRSZ07,585
2018-02-25T09:45:00.000+08:00,PRSZ06,3610
2018-02-25T09:45:00.000+08:00,RCSZ06,1021
2018-02-25T09:45:00.000+08:00,GLSZ02,9495
2018-02-25T09:45:00.000+08:00,NVSZ03,3800
2018-02-25T09:45:00.000+08:00,MDSZ02,2367
2018-02-25T09:45:00.000+08:00,MDSZ03,217
2018-02-25T09:45:00.000+08:00,MDSZ01,292
2018-02-25T09:45:00.000+08:00,QTSZ05,6296
2018-02-25T09:45:00.000+08:00,DTSZ03,9912
2018-02-25T09:45:00.000+08:00,MESZ01,2317
2018-02-25T09:45:00.000+08:00,MPSZ05,40
2018-02-25T09:45:00.000+08:00,MSSZ01,2867
2018-02-25T09:45:00.000+08:00,MPSZ03,17392
2018-02-25T09:45:00.000+08:00,BMSZ01,12108
2018-02-25T09:45:00.000+08:00,BSSZ02,9616
2018-02-25T09:45:00.000+08:00,PGSZ03,12559
2018-02-25T09:45:00.000+08:00,DTSZ07,1038
2018-02-25T09:45:00.000+08:00,QTSZ06,8778
2018-02-25T09:45:00.000+08:00,WDSZ02,9334
2018-02-25T09:45:00.000+08:00,NTSZ05,655
2018-02-25T09:45:00.000+08:00,NVSZ02,12463
2018-02-25T09:45:00.000+08:00,RCSZ07,1885
2018-02-25T09:45:00.000+08:00,NVSZ05,664
2018-02-25T09:45:00.000+08:00,MPSZ01,7582
2018-02-25T09:45:00.000+08:00,TNSZ01,8695
2018-02-25T09:45:00.000+08:00,QTSZ11,8216
2018-02-25T09:45:00.000+08:00,BPSZ07,2448
2018-02-25T09:45:00.000+08:00,YSSZ07,5265
2018-02-25T09:45:00.000+08:00,NTSZ03,2520
2018-02-25T09:45:00.000+08:00,WDSZ09,41986
2018-02-25T09:45:00.000+08:00,NESZ01,2979
2018-02-25T09:45:00.000+08:00,YSSZ02,11800
2018-02-25T09:45:00.000+08:00,PGSZ01,3784
2018-02-25T09:45:00.000+08:00,QTSZ08,7783
2018-02-25T09:45:00.000+08:00,RVSZ01,1501
2018-02-25T09:45:00.000+08:00,NTSZ01,4394
2018-02-25T09:45:00.000+08:00,RVSZ04,1710
2018-02-25T09:45:00.000+08:00,CLSZ09,1858
2018-02-25T09:45:00.000+08:00,SKSZ04,5176
2018-02-25T09:45:00.000+08:00,QTSZ13,2762
2018-02-25T09:45:00.000+08:00,QTSZ14,4543
2018-02-25T09:45:00.000+08:00,PRSZ03,11019
2018-02-25T09:45:00.000+08:00,PRSZ05,13481
2018-02-25T09:45:00.000+08:00,PRSZ04,4234
