timestamp,staypoint_subzone,total_stay,total_stay_duration
2018-01-26T00:00:00.000+08:00,SBSZ05,2253,1065161
2018-01-26T01:00:00.000+08:00,SBSZ05,285,123898
2018-01-26T02:00:00.000+08:00,SBSZ05,85,25058
2018-01-26T03:00:00.000+08:00,SBSZ05,53,13396
2018-01-26T04:00:00.000+08:00,SBSZ05,58,9582
2018-01-26T05:00:00.000+08:00,SBSZ05,95,11453
2018-01-26T06:00:00.000+08:00,SBSZ05,347,80798
2018-01-26T07:00:00.000+08:00,SBSZ05,647,171160
2018-01-26T08:00:00.000+08:00,SBSZ05,639,142522
2018-01-26T09:00:00.000+08:00,SBSZ05,390,77578
2018-01-26T10:00:00.000+08:00,SBSZ05,312,43064
2018-01-26T11:00:00.000+08:00,SBSZ05,406,67830
2018-01-26T12:00:00.000+08:00,SBSZ05,348,53845
2018-01-26T13:00:00.000+08:00,SBSZ05,406,62890
2018-01-26T14:00:00.000+08:00,SBSZ05,413,57385
2018-01-26T15:00:00.000+08:00,SBSZ05,339,51468
2018-01-26T16:00:00.000+08:00,SBSZ05,397,59608
2018-01-26T17:00:00.000+08:00,SBSZ05,464,64588
2018-01-26T18:00:00.000+08:00,SBSZ05,556,86347
2018-01-26T19:00:00.000+08:00,SBSZ05,562,77312
2018-01-26T20:00:00.000+08:00,SBSZ05,475,56344
2018-01-26T21:00:00.000+08:00,SBSZ05,436,40649
2018-01-26T22:00:00.000+08:00,SBSZ05,358,20941
2018-01-26T23:00:00.000+08:00,SBSZ05,194,5689
2018-01-26T00:00:00.000+08:00,PLSZ04,1485,391083
2018-01-26T01:00:00.000+08:00,PLSZ04,443,78052
2018-01-26T02:00:00.000+08:00,PLSZ04,238,26082
2018-01-26T03:00:00.000+08:00,PLSZ04,252,24535
2018-01-26T04:00:00.000+08:00,PLSZ04,227,19688
2018-01-26T05:00:00.000+08:00,PLSZ04,252,17795
2018-01-26T06:00:00.000+08:00,PLSZ04,371,37473
2018-01-26T07:00:00.000+08:00,PLSZ04,922,147295
2018-01-26T08:00:00.000+08:00,PLSZ04,1107,131955
2018-01-26T09:00:00.000+08:00,PLSZ04,909,84382
2018-01-26T10:00:00.000+08:00,PLSZ04,844,64876
2018-01-26T11:00:00.000+08:00,PLSZ04,838,57160
2018-01-26T12:00:00.000+08:00,PLSZ04,865,61701
2018-01-26T13:00:00.000+08:00,PLSZ04,826,60247
2018-01-26T14:00:00.000+08:00,PLSZ04,918,73409
2018-01-26T15:00:00.000+08:00,PLSZ04,841,58696
2018-01-26T16:00:00.000+08:00,PLSZ04,770,42106
2018-01-26T17:00:00.000+08:00,PLSZ04,693,44384
2018-01-26T18:00:00.000+08:00,PLSZ04,579,40461
2018-01-26T19:00:00.000+08:00,PLSZ04,614,44948
2018-01-26T20:00:00.000+08:00,PLSZ04,572,44213
2018-01-26T21:00:00.000+08:00,PLSZ04,585,39766
2018-01-26T22:00:00.000+08:00,PLSZ04,622,34397
2018-01-26T23:00:00.000+08:00,PLSZ04,324,9231
2018-01-26T00:00:00.000+08:00,BMSZ07,5792,2793382
2018-01-26T01:00:00.000+08:00,BMSZ07,906,397511
2018-01-26T02:00:00.000+08:00,BMSZ07,294,68228
2018-01-26T03:00:00.000+08:00,BMSZ07,227,56980
2018-01-26T04:00:00.000+08:00,BMSZ07,211,42691
