timestamp,staypoint_subzone,total_stay,total_stay_duration
2018-02-19T00:00:00.000+08:00,SBSZ05,1551,761591
2018-02-19T01:00:00.000+08:00,SBSZ05,382,194336
2018-02-19T02:00:00.000+08:00,SBSZ05,90,32297
2018-02-19T03:00:00.000+08:00,SBSZ05,62,15290
2018-02-19T04:00:00.000+08:00,SBSZ05,53,11219
2018-02-19T05:00:00.000+08:00,SBSZ05,59,13835
2018-02-19T06:00:00.000+08:00,SBSZ05,149,41819
2018-02-19T07:00:00.000+08:00,SBSZ05,342,85775
2018-02-19T08:00:00.000+08:00,SBSZ05,417,114256
2018-02-19T09:00:00.000+08:00,SBSZ05,360,75561
2018-02-19T10:00:00.000+08:00,SBSZ05,327,60806
2018-02-19T11:00:00.000+08:00,SBSZ05,305,62550
2018-02-19T12:00:00.000+08:00,SBSZ05,302,54427
2018-02-19T13:00:00.000+08:00,SBSZ05,284,51114
2018-02-19T14:00:00.000+08:00,SBSZ05,329,60359
2018-02-19T15:00:00.000+08:00,SBSZ05,325,59477
2018-02-19T16:00:00.000+08:00,SBSZ05,323,56433
2018-02-19T17:00:00.000+08:00,SBSZ05,289,53672
2018-02-19T18:00:00.000+08:00,SBSZ05,409,66373
2018-02-19T19:00:00.000+08:00,SBSZ05,355,51965
2018-02-19T20:00:00.000+08:00,SBSZ05,377,45739
2018-02-19T21:00:00.000+08:00,SBSZ05,350,33424
2018-02-19T22:00:00.000+08:00,SBSZ05,284,17347
2018-02-19T23:00:00.000+08:00,SBSZ05,95,2721
2018-02-19T00:00:00.000+08:00,PLSZ04,1034,264956
2018-02-19T01:00:00.000+08:00,PLSZ04,385,88609
2018-02-19T02:00:00.000+08:00,PLSZ04,188,26655
2018-02-19T03:00:00.000+08:00,PLSZ04,143,19333
2018-02-19T04:00:00.000+08:00,PLSZ04,167,15021
2018-02-19T05:00:00.000+08:00,PLSZ04,176,18912
2018-02-19T06:00:00.000+08:00,PLSZ04,248,34011
2018-02-19T07:00:00.000+08:00,PLSZ04,567,80581
2018-02-19T08:00:00.000+08:00,PLSZ04,621,74512
2018-02-19T09:00:00.000+08:00,PLSZ04,500,52501
2018-02-19T10:00:00.000+08:00,PLSZ04,486,48359
2018-02-19T11:00:00.000+08:00,PLSZ04,473,39772
2018-02-19T12:00:00.000+08:00,PLSZ04,508,46494
2018-02-19T13:00:00.000+08:00,PLSZ04,487,42877
2018-02-19T14:00:00.000+08:00,PLSZ04,500,38037
2018-02-19T15:00:00.000+08:00,PLSZ04,441,36786
2018-02-19T16:00:00.000+08:00,PLSZ04,464,40336
2018-02-19T17:00:00.000+08:00,PLSZ04,420,32308
2018-02-19T18:00:00.000+08:00,PLSZ04,458,41385
2018-02-19T19:00:00.000+08:00,PLSZ04,493,47356
2018-02-19T20:00:00.000+08:00,PLSZ04,466,38599
2018-02-19T21:00:00.000+08:00,PLSZ04,462,33246
2018-02-19T22:00:00.000+08:00,PLSZ04,413,23857
2018-02-19T23:00:00.000+08:00,PLSZ04,188,5690
2018-02-19T00:00:00.000+08:00,BMSZ07,3919,1959781
2018-02-19T01:00:00.000+08:00,BMSZ07,929,447503
2018-02-19T02:00:00.000+08:00,BMSZ07,275,72992
2018-02-19T03:00:00.000+08:00,BMSZ07,193,46948
2018-02-19T04:00:00.000+08:00,BMSZ07,165,40385
2018-02-19T05:00:00.000+08:00,BMSZ07,159,31110
2018-02-19T06:00:00.000+08:00,BMSZ07,470,129243
2018-02-19T07:00:00.000+08:00,BMSZ07,1157,277590
2018-02-19T08:00:00.000+08:00,BMSZ07,2075,488409
2018-02-19T09:00:00.000+08:00,BMSZ07,2134,406313
2018-02-19T10:00:00.000+08:00,BMSZ07,2078,306577
2018-02-19T11:00:00.000+08:00,BMSZ07,2300,288474
2018-02-19T12:00:00.000+08:00,BMSZ07,2291,264613
2018-02-19T13:00:00.000+08:00,BMSZ07,2164,262052
2018-02-19T14:00:00.000+08:00,BMSZ07,1971,241539
2018-02-19T15:00:00.000+08:00,BMSZ07,1797,200722
2018-02-19T16:00:00.000+08:00,BMSZ07,1773,216859
2018-02-19T17:00:00.000+08:00,BMSZ07,1756,204110
2018-02-19T18:00:00.000+08:00,BMSZ07,1991,244693
2018-02-19T19:00:00.000+08:00,BMSZ07,1733,197328
2018-02-19T20:00:00.000+08:00,BMSZ07,1272,133575
2018-02-19T21:00:00.000+08:00,BMSZ07,1069,96488
2018-02-19T22:00:00.000+08:00,BMSZ07,737,44676
2018-02-19T23:00:00.000+08:00,BMSZ07,319,9826
2018-02-19T00:00:00.000+08:00,BMSZ06,705,332557
2018-02-19T01:00:00.000+08:00,BMSZ06,150,68864
2018-02-19T02:00:00.000+08:00,BMSZ06,40,15221
2018-02-19T03:00:00.000+08:00,BMSZ06,40,3960
2018-02-19T04:00:00.000+08:00,BMSZ06,40,5289
2018-02-19T05:00:00.000+08:00,BMSZ06,40,4984
2018-02-19T06:00:00.000+08:00,BMSZ06,69,12922
2018-02-19T07:00:00.000+08:00,BMSZ06,165,34456
2018-02-19T08:00:00.000+08:00,BMSZ06,267,48373
2018-02-19T09:00:00.000+08:00,BMSZ06,258,40140
2018-02-19T10:00:00.000+08:00,BMSZ06,234,38501
2018-02-19T11:00:00.000+08:00,BMSZ06,232,30864
2018-02-19T12:00:00.000+08:00,BMSZ06,194,31674
2018-02-19T13:00:00.000+08:00,BMSZ06,184,29522
2018-02-19T14:00:00.000+08:00,BMSZ06,228,27009
2018-02-19T15:00:00.000+08:00,BMSZ06,209,26505
2018-02-19T16:00:00.000+08:00,BMSZ06,201,28789
2018-02-19T17:00:00.000+08:00,BMSZ06,216,29599
2018-02-19T18:00:00.000+08:00,BMSZ06,239,35119
2018-02-19T19:00:00.000+08:00,BMSZ06,211,27612
2018-02-19T20:00:00.000+08:00,BMSZ06,180,22404
2018-02-19T21:00:00.000+08:00,BMSZ06,155,14311
2018-02-19T22:00:00.000+08:00,BMSZ06,112,6662
2018-02-19T23:00:00.000+08:00,BMSZ06,53,1721
2018-02-19T00:00:00.000+08:00,GLSZ04,16563,7249299
2018-02-19T01:00:00.000+08:00,GLSZ04,4008,1522594
2018-02-19T02:00:00.000+08:00,GLSZ04,1241,298055
2018-02-19T03:00:00.000+08:00,GLSZ04,845,188570
2018-02-19T04:00:00.000+08:00,GLSZ04,711,171966
2018-02-19T05:00:00.000+08:00,GLSZ04,836,160184
2018-02-19T06:00:00.000+08:00,GLSZ04,1851,390527
2018-02-19T07:00:00.000+08:00,GLSZ04,3441,640488
2018-02-19T08:00:00.000+08:00,GLSZ04,4674,823227
2018-02-19T09:00:00.000+08:00,GLSZ04,4807,725901
2018-02-19T10:00:00.000+08:00,GLSZ04,4852,665832
2018-02-19T11:00:00.000+08:00,GLSZ04,5192,657454
2018-02-19T12:00:00.000+08:00,GLSZ04,5419,667728
2018-02-19T13:00:00.000+08:00,GLSZ04,5268,676669
2018-02-19T14:00:00.000+08:00,GLSZ04,4832,621013
2018-02-19T15:00:00.000+08:00,GLSZ04,4734,603548
2018-02-19T16:00:00.000+08:00,GLSZ04,4670,615899
2018-02-19T17:00:00.000+08:00,GLSZ04,5422,711422
2018-02-19T18:00:00.000+08:00,GLSZ04,6606,835452
2018-02-19T19:00:00.000+08:00,GLSZ04,6781,817655
2018-02-19T20:00:00.000+08:00,GLSZ04,5593,589625
2018-02-19T21:00:00.000+08:00,GLSZ04,5009,433126
2018-02-19T22:00:00.000+08:00,GLSZ04,3924,229799
2018-02-19T23:00:00.000+08:00,GLSZ04,1643,47005
2018-02-19T00:00:00.000+08:00,BTSZ01,4531,2158099
2018-02-19T01:00:00.000+08:00,BTSZ01,1085,483355
2018-02-19T02:00:00.000+08:00,BTSZ01,329,75464
2018-02-19T03:00:00.000+08:00,BTSZ01,274,40307
2018-02-19T04:00:00.000+08:00,BTSZ01,212,35885
2018-02-19T05:00:00.000+08:00,BTSZ01,297,61361
2018-02-19T06:00:00.000+08:00,BTSZ01,585,131994
2018-02-19T07:00:00.000+08:00,BTSZ01,1339,312647
2018-02-19T08:00:00.000+08:00,BTSZ01,2897,630776
2018-02-19T09:00:00.000+08:00,BTSZ01,2340,403875
2018-02-19T10:00:00.000+08:00,BTSZ01,2296,348402
2018-02-19T11:00:00.000+08:00,BTSZ01,2984,432379
2018-02-19T12:00:00.000+08:00,BTSZ01,2975,421064
2018-02-19T13:00:00.000+08:00,BTSZ01,2371,312606
2018-02-19T14:00:00.000+08:00,BTSZ01,2101,273790
2018-02-19T15:00:00.000+08:00,BTSZ01,2356,303737
2018-02-19T16:00:00.000+08:00,BTSZ01,1991,239641
2018-02-19T17:00:00.000+08:00,BTSZ01,2033,246203
2018-02-19T18:00:00.000+08:00,BTSZ01,3113,380755
2018-02-19T19:00:00.000+08:00,BTSZ01,2384,260414
2018-02-19T20:00:00.000+08:00,BTSZ01,1705,157769
2018-02-19T21:00:00.000+08:00,BTSZ01,1422,108742
2018-02-19T22:00:00.000+08:00,BTSZ01,986,55428
2018-02-19T23:00:00.000+08:00,BTSZ01,441,13418
2018-02-19T00:00:00.000+08:00,SESZ04,6032,2808763
2018-02-19T01:00:00.000+08:00,SESZ04,1362,580607
2018-02-19T02:00:00.000+08:00,SESZ04,409,105336
2018-02-19T03:00:00.000+08:00,SESZ04,293,61881
2018-02-19T04:00:00.000+08:00,SESZ04,230,46350
2018-02-19T05:00:00.000+08:00,SESZ04,294,60179
2018-02-19T06:00:00.000+08:00,SESZ04,628,150567
2018-02-19T07:00:00.000+08:00,SESZ04,1353,312796
2018-02-19T08:00:00.000+08:00,SESZ04,1418,320908
2018-02-19T09:00:00.000+08:00,SESZ04,1254,234688
2018-02-19T10:00:00.000+08:00,SESZ04,1320,226295
2018-02-19T11:00:00.000+08:00,SESZ04,1301,197075
2018-02-19T12:00:00.000+08:00,SESZ04,1420,238178
2018-02-19T13:00:00.000+08:00,SESZ04,1381,232728
2018-02-19T14:00:00.000+08:00,SESZ04,1374,224305
2018-02-19T15:00:00.000+08:00,SESZ04,1400,204041
2018-02-19T16:00:00.000+08:00,SESZ04,1496,219888
2018-02-19T17:00:00.000+08:00,SESZ04,1558,230751
2018-02-19T18:00:00.000+08:00,SESZ04,1914,265329
2018-02-19T19:00:00.000+08:00,SESZ04,1966,251888
2018-02-19T20:00:00.000+08:00,SESZ04,1710,184401
2018-02-19T21:00:00.000+08:00,SESZ04,1553,136710
2018-02-19T22:00:00.000+08:00,SESZ04,1068,62815
2018-02-19T23:00:00.000+08:00,SESZ04,494,14059
2018-02-19T00:00:00.000+08:00,AMSZ01,1245,591287
2018-02-19T01:00:00.000+08:00,AMSZ01,317,171474
2018-02-19T02:00:00.000+08:00,AMSZ01,76,25836
2018-02-19T03:00:00.000+08:00,AMSZ01,46,13745
2018-02-19T04:00:00.000+08:00,AMSZ01,43,11133
2018-02-19T05:00:00.000+08:00,AMSZ01,76,12128
2018-02-19T06:00:00.000+08:00,AMSZ01,212,43055
2018-02-19T07:00:00.000+08:00,AMSZ01,520,91381
2018-02-19T08:00:00.000+08:00,AMSZ01,818,134640
2018-02-19T09:00:00.000+08:00,AMSZ01,1199,181273
