timestamp,staypoint_subzone,total_stay,total_stay_duration
2018-02-13T00:00:00.000+08:00,SBSZ05,1712,770265
2018-02-13T01:00:00.000+08:00,SBSZ05,370,145037
2018-02-13T02:00:00.000+08:00,SBSZ05,78,17586
2018-02-13T03:00:00.000+08:00,SBSZ05,49,12276
2018-02-13T04:00:00.000+08:00,SBSZ05,61,14424
2018-02-13T05:00:00.000+08:00,SBSZ05,119,18108
2018-02-13T06:00:00.000+08:00,SBSZ05,301,68741
2018-02-13T07:00:00.000+08:00,SBSZ05,579,160903
2018-02-13T08:00:00.000+08:00,SBSZ05,555,143511
2018-02-13T09:00:00.000+08:00,SBSZ05,410,89337
2018-02-13T10:00:00.000+08:00,SBSZ05,348,67648
2018-02-13T11:00:00.000+08:00,SBSZ05,362,58626
2018-02-13T12:00:00.000+08:00,SBSZ05,304,51767
2018-02-13T13:00:00.000+08:00,SBSZ05,335,62458
2018-02-13T14:00:00.000+08:00,SBSZ05,327,48499
2018-02-13T15:00:00.000+08:00,SBSZ05,300,47274
2018-02-13T16:00:00.000+08:00,SBSZ05,356,57696
2018-02-13T17:00:00.000+08:00,SBSZ05,365,61663
2018-02-13T18:00:00.000+08:00,SBSZ05,495,79860
2018-02-13T19:00:00.000+08:00,SBSZ05,475,70338
2018-02-13T20:00:00.000+08:00,SBSZ05,421,51052
2018-02-13T21:00:00.000+08:00,SBSZ05,417,39323
2018-02-13T22:00:00.000+08:00,SBSZ05,296,18148
2018-02-13T23:00:00.000+08:00,SBSZ05,117,3457
2018-02-13T00:00:00.000+08:00,PLSZ04,1111,259181
2018-02-13T01:00:00.000+08:00,PLSZ04,396,75785
2018-02-13T02:00:00.000+08:00,PLSZ04,188,26434
2018-02-13T03:00:00.000+08:00,PLSZ04,167,15621
2018-02-13T04:00:00.000+08:00,PLSZ04,181,13916
2018-02-13T05:00:00.000+08:00,PLSZ04,194,19246
2018-02-13T06:00:00.000+08:00,PLSZ04,358,47065
2018-02-13T07:00:00.000+08:00,PLSZ04,763,119328
2018-02-13T08:00:00.000+08:00,PLSZ04,868,108571
2018-02-13T09:00:00.000+08:00,PLSZ04,817,84925
2018-02-13T10:00:00.000+08:00,PLSZ04,737,55707
2018-02-13T11:00:00.000+08:00,PLSZ04,718,54459
2018-02-13T12:00:00.000+08:00,PLSZ04,724,60404
2018-02-13T13:00:00.000+08:00,PLSZ04,752,61189
2018-02-13T14:00:00.000+08:00,PLSZ04,705,54359
2018-02-13T15:00:00.000+08:00,PLSZ04,760,52652
2018-02-13T16:00:00.000+08:00,PLSZ04,745,48766
2018-02-13T17:00:00.000+08:00,PLSZ04,564,37199
2018-02-13T18:00:00.000+08:00,PLSZ04,485,35150
2018-02-13T19:00:00.000+08:00,PLSZ04,586,45864
2018-02-13T20:00:00.000+08:00,PLSZ04,548,45279
2018-02-13T21:00:00.000+08:00,PLSZ04,493,35479
2018-02-13T22:00:00.000+08:00,PLSZ04,464,25548
2018-02-13T23:00:00.000+08:00,PLSZ04,238,6671
2018-02-13T00:00:00.000+08:00,BMSZ07,4140,1947615
2018-02-13T01:00:00.000+08:00,BMSZ07,1011,442273
2018-02-13T02:00:00.000+08:00,BMSZ07,257,61479
2018-02-13T03:00:00.000+08:00,BMSZ07,176,40234
2018-02-13T04:00:00.000+08:00,BMSZ07,190,40999
2018-02-13T05:00:00.000+08:00,BMSZ07,266,58996
2018-02-13T06:00:00.000+08:00,BMSZ07,676,161412
