timestamp,staypoint_subzone,total_stay,total_stay_duration
2018-02-20T00:00:00.000+08:00,SBSZ05,1574,721334
2018-02-20T01:00:00.000+08:00,SBSZ05,379,168809
2018-02-20T02:00:00.000+08:00,SBSZ05,101,26891
2018-02-20T03:00:00.000+08:00,SBSZ05,61,15577
2018-02-20T04:00:00.000+08:00,SBSZ05,68,15089
2018-02-20T05:00:00.000+08:00,SBSZ05,74,16336
2018-02-20T06:00:00.000+08:00,SBSZ05,201,34106
2018-02-20T07:00:00.000+08:00,SBSZ05,401,107681
2018-02-20T08:00:00.000+08:00,SBSZ05,497,136134
2018-02-20T09:00:00.000+08:00,SBSZ05,325,65632
2018-02-20T10:00:00.000+08:00,SBSZ05,274,60172
2018-02-20T11:00:00.000+08:00,SBSZ05,267,50896
2018-02-20T12:00:00.000+08:00,SBSZ05,293,52764
2018-02-20T13:00:00.000+08:00,SBSZ05,262,50737
2018-02-20T14:00:00.000+08:00,SBSZ05,293,48596
2018-02-20T15:00:00.000+08:00,SBSZ05,325,54778
2018-02-20T16:00:00.000+08:00,SBSZ05,321,60643
2018-02-20T17:00:00.000+08:00,SBSZ05,382,66882
2018-02-20T18:00:00.000+08:00,SBSZ05,477,78456
2018-02-20T19:00:00.000+08:00,SBSZ05,527,78454
2018-02-20T20:00:00.000+08:00,SBSZ05,375,48591
2018-02-20T21:00:00.000+08:00,SBSZ05,354,33900
2018-02-20T22:00:00.000+08:00,SBSZ05,274,16356
2018-02-20T23:00:00.000+08:00,SBSZ05,122,3642
2018-02-20T00:00:00.000+08:00,PLSZ04,1049,262866
2018-02-20T01:00:00.000+08:00,PLSZ04,405,84052
2018-02-20T02:00:00.000+08:00,PLSZ04,219,25579
2018-02-20T03:00:00.000+08:00,PLSZ04,193,20963
2018-02-20T04:00:00.000+08:00,PLSZ04,153,12344
2018-02-20T05:00:00.000+08:00,PLSZ04,192,15764
2018-02-20T06:00:00.000+08:00,PLSZ04,286,30788
2018-02-20T07:00:00.000+08:00,PLSZ04,772,117654
2018-02-20T08:00:00.000+08:00,PLSZ04,783,106390
2018-02-20T09:00:00.000+08:00,PLSZ04,693,67606
2018-02-20T10:00:00.000+08:00,PLSZ04,597,49196
2018-02-20T11:00:00.000+08:00,PLSZ04,624,49005
2018-02-20T12:00:00.000+08:00,PLSZ04,697,62509
2018-02-20T13:00:00.000+08:00,PLSZ04,620,57024
2018-02-20T14:00:00.000+08:00,PLSZ04,625,57248
2018-02-20T15:00:00.000+08:00,PLSZ04,601,42625
2018-02-20T16:00:00.000+08:00,PLSZ04,643,48266
2018-02-20T17:00:00.000+08:00,PLSZ04,464,40771
2018-02-20T18:00:00.000+08:00,PLSZ04,460,46250
2018-02-20T19:00:00.000+08:00,PLSZ04,545,48851
2018-02-20T20:00:00.000+08:00,PLSZ04,512,47211
2018-02-20T21:00:00.000+08:00,PLSZ04,506,39331
2018-02-20T22:00:00.000+08:00,PLSZ04,478,26067
2018-02-20T23:00:00.000+08:00,PLSZ04,240,6988
2018-02-20T00:00:00.000+08:00,BMSZ07,3965,1887909
2018-02-20T01:00:00.000+08:00,BMSZ07,999,460302
2018-02-20T02:00:00.000+08:00,BMSZ07,262,68910
2018-02-20T03:00:00.000+08:00,BMSZ07,176,43929
2018-02-20T04:00:00.000+08:00,BMSZ07,166,34436
2018-02-20T05:00:00.000+08:00,BMSZ07,244,54915
