timestamp,staypoint_subzone,total_stay,total_stay_duration
2018-01-21T00:00:00.000+08:00,SBSZ05,2346,1311160
2018-01-21T01:00:00.000+08:00,SBSZ05,359,167587
2018-01-21T02:00:00.000+08:00,SBSZ05,111,35444
2018-01-21T03:00:00.000+08:00,SBSZ05,70,23740
2018-01-21T04:00:00.000+08:00,SBSZ05,92,23250
2018-01-21T05:00:00.000+08:00,SBSZ05,84,20963
2018-01-21T06:00:00.000+08:00,SBSZ05,180,40489
2018-01-21T07:00:00.000+08:00,SBSZ05,378,90833
2018-01-21T08:00:00.000+08:00,SBSZ05,379,77680
2018-01-21T09:00:00.000+08:00,SBSZ05,428,72519
2018-01-21T10:00:00.000+08:00,SBSZ05,358,56756
2018-01-21T11:00:00.000+08:00,SBSZ05,367,61842
2018-01-21T12:00:00.000+08:00,SBSZ05,325,58622
2018-01-21T13:00:00.000+08:00,SBSZ05,455,75303
2018-01-21T14:00:00.000+08:00,SBSZ05,410,59504
2018-01-21T15:00:00.000+08:00,SBSZ05,386,61388
2018-01-21T16:00:00.000+08:00,SBSZ05,346,53272
2018-01-21T17:00:00.000+08:00,SBSZ05,409,60571
2018-01-21T18:00:00.000+08:00,SBSZ05,424,60354
2018-01-21T19:00:00.000+08:00,SBSZ05,385,50935
2018-01-21T20:00:00.000+08:00,SBSZ05,433,50614
2018-01-21T21:00:00.000+08:00,SBSZ05,385,33917
2018-01-21T22:00:00.000+08:00,SBSZ05,294,17172
2018-01-21T23:00:00.000+08:00,SBSZ05,136,3906
2018-01-21T00:00:00.000+08:00,PLSZ04,1399,399302
2018-01-21T01:00:00.000+08:00,PLSZ04,448,87878
2018-01-21T02:00:00.000+08:00,PLSZ04,273,34896
2018-01-21T03:00:00.000+08:00,PLSZ04,262,33621
2018-01-21T04:00:00.000+08:00,PLSZ04,209,23775
2018-01-21T05:00:00.000+08:00,PLSZ04,217,21169
2018-01-21T06:00:00.000+08:00,PLSZ04,213,16389
2018-01-21T07:00:00.000+08:00,PLSZ04,371,49286
2018-01-21T08:00:00.000+08:00,PLSZ04,531,46945
2018-01-21T09:00:00.000+08:00,PLSZ04,560,51397
2018-01-21T10:00:00.000+08:00,PLSZ04,591,41795
2018-01-21T11:00:00.000+08:00,PLSZ04,552,43062
2018-01-21T12:00:00.000+08:00,PLSZ04,591,44840
2018-01-21T13:00:00.000+08:00,PLSZ04,554,39985
2018-01-21T14:00:00.000+08:00,PLSZ04,556,44284
2018-01-21T15:00:00.000+08:00,PLSZ04,558,41303
2018-01-21T16:00:00.000+08:00,PLSZ04,531,39992
2018-01-21T17:00:00.000+08:00,PLSZ04,527,39329
2018-01-21T18:00:00.000+08:00,PLSZ04,494,38119
2018-01-21T19:00:00.000+08:00,PLSZ04,502,39826
2018-01-21T20:00:00.000+08:00,PLSZ04,558,42362
2018-01-21T21:00:00.000+08:00,PLSZ04,562,39286
2018-01-21T22:00:00.000+08:00,PLSZ04,568,31369
2018-01-21T23:00:00.000+08:00,PLSZ04,289,8572
2018-01-21T00:00:00.000+08:00,BMSZ07,5866,3219631
2018-01-21T01:00:00.000+08:00,BMSZ07,922,439767
2018-01-21T02:00:00.000+08:00,BMSZ07,346,105472
2018-01-21T03:00:00.000+08:00,BMSZ07,244,72149
2018-01-21T04:00:00.000+08:00,BMSZ07,230,48884
2018-01-21T05:00:00.000+08:00,BMSZ07,242,50814
2018-01-21T06:00:00.000+08:00,BMSZ07,352,80390
2018-01-21T07:00:00.000+08:00,BMSZ07,714,155236
2018-01-21T08:00:00.000+08:00,BMSZ07,1216,209315
2018-01-21T09:00:00.000+08:00,BMSZ07,1844,285899
2018-01-21T10:00:00.000+08:00,BMSZ07,2275,293152
2018-01-21T11:00:00.000+08:00,BMSZ07,2587,298546
2018-01-21T12:00:00.000+08:00,BMSZ07,2673,317476
2018-01-21T13:00:00.000+08:00,BMSZ07,2801,306381
2018-01-21T14:00:00.000+08:00,BMSZ07,2736,309116
2018-01-21T15:00:00.000+08:00,BMSZ07,2647,302272
2018-01-21T16:00:00.000+08:00,BMSZ07,2414,262867
2018-01-21T17:00:00.000+08:00,BMSZ07,2645,274343
2018-01-21T18:00:00.000+08:00,BMSZ07,2885,284844
2018-01-21T19:00:00.000+08:00,BMSZ07,2429,238171
2018-01-21T20:00:00.000+08:00,BMSZ07,1724,157845
2018-01-21T21:00:00.000+08:00,BMSZ07,1326,107059
2018-01-21T22:00:00.000+08:00,BMSZ07,1050,61686
2018-01-21T23:00:00.000+08:00,BMSZ07,405,11881
2018-01-21T00:00:00.000+08:00,BMSZ06,906,494844
2018-01-21T01:00:00.000+08:00,BMSZ06,138,67487
2018-01-21T02:00:00.000+08:00,BMSZ06,49,15672
2018-01-21T03:00:00.000+08:00,BMSZ06,40,9253
2018-01-21T04:00:00.000+08:00,BMSZ06,40,8358
2018-01-21T05:00:00.000+08:00,BMSZ06,41,6685
2018-01-21T06:00:00.000+08:00,BMSZ06,55,11710
2018-01-21T07:00:00.000+08:00,BMSZ06,111,21384
2018-01-21T08:00:00.000+08:00,BMSZ06,197,33282
2018-01-21T09:00:00.000+08:00,BMSZ06,234,28147
