timestamp,staypoint_subzone,total_stay,total_stay_duration
2018-02-15T00:00:00.000+08:00,SBSZ05,1588,773022
2018-02-15T01:00:00.000+08:00,SBSZ05,386,177730
2018-02-15T02:00:00.000+08:00,SBSZ05,109,29544
2018-02-15T03:00:00.000+08:00,SBSZ05,89,18751
2018-02-15T04:00:00.000+08:00,SBSZ05,47,12207
2018-02-15T05:00:00.000+08:00,SBSZ05,101,23143
2018-02-15T06:00:00.000+08:00,SBSZ05,255,65448
2018-02-15T07:00:00.000+08:00,SBSZ05,548,120043
2018-02-15T08:00:00.000+08:00,SBSZ05,482,99345
2018-02-15T09:00:00.000+08:00,SBSZ05,383,74198
2018-02-15T10:00:00.000+08:00,SBSZ05,402,76506
2018-02-15T11:00:00.000+08:00,SBSZ05,390,74094
2018-02-15T12:00:00.000+08:00,SBSZ05,382,71463
2018-02-15T13:00:00.000+08:00,SBSZ05,517,105119
2018-02-15T14:00:00.000+08:00,SBSZ05,464,87227
2018-02-15T15:00:00.000+08:00,SBSZ05,424,78035
2018-02-15T16:00:00.000+08:00,SBSZ05,398,67028
2018-02-15T17:00:00.000+08:00,SBSZ05,423,74725
2018-02-15T18:00:00.000+08:00,SBSZ05,493,79598
2018-02-15T19:00:00.000+08:00,SBSZ05,387,53540
2018-02-15T20:00:00.000+08:00,SBSZ05,393,47910
2018-02-15T21:00:00.000+08:00,SBSZ05,305,27927
2018-02-15T22:00:00.000+08:00,SBSZ05,300,18735
2018-02-15T23:00:00.000+08:00,SBSZ05,161,4822
2018-02-15T00:00:00.000+08:00,PLSZ04,1104,277690
2018-02-15T01:00:00.000+08:00,PLSZ04,402,90654
2018-02-15T02:00:00.000+08:00,PLSZ04,203,23414
2018-02-15T03:00:00.000+08:00,PLSZ04,169,21259
2018-02-15T04:00:00.000+08:00,PLSZ04,153,12166
2018-02-15T05:00:00.000+08:00,PLSZ04,189,17862
2018-02-15T06:00:00.000+08:00,PLSZ04,250,21252
2018-02-15T07:00:00.000+08:00,PLSZ04,541,50060
2018-02-15T08:00:00.000+08:00,PLSZ04,540,49104
2018-02-15T09:00:00.000+08:00,PLSZ04,491,45377
2018-02-15T10:00:00.000+08:00,PLSZ04,483,44213
2018-02-15T11:00:00.000+08:00,PLSZ04,486,40584
2018-02-15T12:00:00.000+08:00,PLSZ04,408,36463
2018-02-15T13:00:00.000+08:00,PLSZ04,446,35416
2018-02-15T14:00:00.000+08:00,PLSZ04,444,34756
2018-02-15T15:00:00.000+08:00,PLSZ04,510,40625
2018-02-15T16:00:00.000+08:00,PLSZ04,468,38537
2018-02-15T17:00:00.000+08:00,PLSZ04,439,38176
2018-02-15T18:00:00.000+08:00,PLSZ04,490,46907
2018-02-15T19:00:00.000+08:00,PLSZ04,474,39651
2018-02-15T20:00:00.000+08:00,PLSZ04,454,35754
2018-02-15T21:00:00.000+08:00,PLSZ04,393,27654
2018-02-15T22:00:00.000+08:00,PLSZ04,404,21562
2018-02-15T23:00:00.000+08:00,PLSZ04,227,6314
2018-02-15T00:00:00.000+08:00,BMSZ07,4053,2018415
2018-02-15T01:00:00.000+08:00,BMSZ07,972,426500
2018-02-15T02:00:00.000+08:00,BMSZ07,279,75857
2018-02-15T03:00:00.000+08:00,BMSZ07,228,50486
2018-02-15T04:00:00.000+08:00,BMSZ07,198,44285
