timestamp,staypoint_subzone,total_stay,total_stay_duration
2018-01-17T00:00:00.000+08:00,SBSZ05,2160,1010969
2018-01-17T01:00:00.000+08:00,SBSZ05,298,131213
2018-01-17T02:00:00.000+08:00,SBSZ05,62,14138
2018-01-17T03:00:00.000+08:00,SBSZ05,54,11043
2018-01-17T04:00:00.000+08:00,SBSZ05,70,13265
2018-01-17T05:00:00.000+08:00,SBSZ05,105,20136
2018-01-17T06:00:00.000+08:00,SBSZ05,331,81299
2018-01-17T07:00:00.000+08:00,SBSZ05,768,202645
2018-01-17T08:00:00.000+08:00,SBSZ05,486,114261
2018-01-17T09:00:00.000+08:00,SBSZ05,408,72860
2018-01-17T10:00:00.000+08:00,SBSZ05,355,55995
2018-01-17T11:00:00.000+08:00,SBSZ05,358,62265
2018-01-17T12:00:00.000+08:00,SBSZ05,389,54561
2018-01-17T13:00:00.000+08:00,SBSZ05,414,54918
2018-01-17T14:00:00.000+08:00,SBSZ05,354,52471
2018-01-17T15:00:00.000+08:00,SBSZ05,378,51958
2018-01-17T16:00:00.000+08:00,SBSZ05,366,47741
2018-01-17T17:00:00.000+08:00,SBSZ05,440,64954
2018-01-17T18:00:00.000+08:00,SBSZ05,545,85414
2018-01-17T19:00:00.000+08:00,SBSZ05,560,76165
2018-01-17T20:00:00.000+08:00,SBSZ05,490,54997
2018-01-17T21:00:00.000+08:00,SBSZ05,394,33953
2018-01-17T22:00:00.000+08:00,SBSZ05,327,19194
2018-01-17T23:00:00.000+08:00,SBSZ05,154,4655
2018-01-17T00:00:00.000+08:00,PLSZ04,1485,373816
2018-01-17T01:00:00.000+08:00,PLSZ04,428,74245
2018-01-17T02:00:00.000+08:00,PLSZ04,270,26350
2018-01-17T03:00:00.000+08:00,PLSZ04,196,19893
2018-01-17T04:00:00.000+08:00,PLSZ04,235,20115
2018-01-17T05:00:00.000+08:00,PLSZ04,225,21311
2018-01-17T06:00:00.000+08:00,PLSZ04,420,41055
2018-01-17T07:00:00.000+08:00,PLSZ04,1040,173232
2018-01-17T08:00:00.000+08:00,PLSZ04,990,139542
2018-01-17T09:00:00.000+08:00,PLSZ04,954,88709
2018-01-17T10:00:00.000+08:00,PLSZ04,824,62951
2018-01-17T11:00:00.000+08:00,PLSZ04,772,48652
2018-01-17T12:00:00.000+08:00,PLSZ04,807,69073
2018-01-17T13:00:00.000+08:00,PLSZ04,875,74600
2018-01-17T14:00:00.000+08:00,PLSZ04,790,51818
2018-01-17T15:00:00.000+08:00,PLSZ04,788,51205
2018-01-17T16:00:00.000+08:00,PLSZ04,803,55169
2018-01-17T17:00:00.000+08:00,PLSZ04,705,45682
2018-01-17T18:00:00.000+08:00,PLSZ04,680,49577
2018-01-17T19:00:00.000+08:00,PLSZ04,684,56391
2018-01-17T20:00:00.000+08:00,PLSZ04,676,50224
2018-01-17T21:00:00.000+08:00,PLSZ04,571,39985
2018-01-17T22:00:00.000+08:00,PLSZ04,616,33058
2018-01-17T23:00:00.000+08:00,PLSZ04,289,8602
2018-01-17T00:00:00.000+08:00,BMSZ07,5600,2745400
2018-01-17T01:00:00.000+08:00,BMSZ07,876,399767
2018-01-17T02:00:00.000+08:00,BMSZ07,234,58001
2018-01-17T03:00:00.000+08:00,BMSZ07,211,49023
2018-01-17T04:00:00.000+08:00,BMSZ07,219,37158
2018-01-17T05:00:00.000+08:00,BMSZ07,271,41060
2018-01-17T06:00:00.000+08:00,BMSZ07,803,184308
2018-01-17T07:00:00.000+08:00,BMSZ07,2016,445986
2018-01-17T08:00:00.000+08:00,BMSZ07,3268,770686
2018-01-17T09:00:00.000+08:00,BMSZ07,3139,573519
2018-01-17T10:00:00.000+08:00,BMSZ07,2857,396284
2018-01-17T11:00:00.000+08:00,BMSZ07,2819,300389
2018-01-17T12:00:00.000+08:00,BMSZ07,3050,284417
2018-01-17T13:00:00.000+08:00,BMSZ07,2514,266086
2018-01-17T14:00:00.000+08:00,BMSZ07,2549,258950
2018-01-17T15:00:00.000+08:00,BMSZ07,2257,219531
2018-01-17T16:00:00.000+08:00,BMSZ07,2468,246105
2018-01-17T17:00:00.000+08:00,BMSZ07,2425,256154
