timestamp,staypoint_subzone,total_stay,total_stay_duration
2018-02-11T00:00:00.000+08:00,SBSZ05,1674,894369
2018-02-11T01:00:00.000+08:00,SBSZ05,409,211437
2018-02-11T02:00:00.000+08:00,SBSZ05,100,34704
2018-02-11T03:00:00.000+08:00,SBSZ05,82,24478
2018-02-11T04:00:00.000+08:00,SBSZ05,72,15299
2018-02-11T05:00:00.000+08:00,SBSZ05,66,14419
2018-02-11T06:00:00.000+08:00,SBSZ05,178,41641
2018-02-11T07:00:00.000+08:00,SBSZ05,344,73343
2018-02-11T08:00:00.000+08:00,SBSZ05,458,90078
2018-02-11T09:00:00.000+08:00,SBSZ05,498,82965
2018-02-11T10:00:00.000+08:00,SBSZ05,494,77456
2018-02-11T11:00:00.000+08:00,SBSZ05,404,77446
2018-02-11T12:00:00.000+08:00,SBSZ05,367,60603
2018-02-11T13:00:00.000+08:00,SBSZ05,432,77448
2018-02-11T14:00:00.000+08:00,SBSZ05,348,65116
2018-02-11T15:00:00.000+08:00,SBSZ05,423,73984
2018-02-11T16:00:00.000+08:00,SBSZ05,348,64970
2018-02-11T17:00:00.000+08:00,SBSZ05,365,59172
2018-02-11T18:00:00.000+08:00,SBSZ05,367,60843
2018-02-11T19:00:00.000+08:00,SBSZ05,414,61729
2018-02-11T20:00:00.000+08:00,SBSZ05,405,47834
2018-02-11T21:00:00.000+08:00,SBSZ05,385,36691
2018-02-11T22:00:00.000+08:00,SBSZ05,290,16400
2018-02-11T23:00:00.000+08:00,SBSZ05,134,4057
2018-02-11T00:00:00.000+08:00,PLSZ04,1133,329691
2018-02-11T01:00:00.000+08:00,PLSZ04,405,94589
2018-02-11T02:00:00.000+08:00,PLSZ04,259,35410
2018-02-11T03:00:00.000+08:00,PLSZ04,207,25049
2018-02-11T04:00:00.000+08:00,PLSZ04,171,21687
2018-02-11T05:00:00.000+08:00,PLSZ04,192,18478
2018-02-11T06:00:00.000+08:00,PLSZ04,217,21451
2018-02-11T07:00:00.000+08:00,PLSZ04,313,42742
2018-02-11T08:00:00.000+08:00,PLSZ04,405,38413
2018-02-11T09:00:00.000+08:00,PLSZ04,433,45690
2018-02-11T10:00:00.000+08:00,PLSZ04,443,36786
2018-02-11T11:00:00.000+08:00,PLSZ04,514,36376
2018-02-11T12:00:00.000+08:00,PLSZ04,454,34456
2018-02-11T13:00:00.000+08:00,PLSZ04,493,39824
2018-02-11T14:00:00.000+08:00,PLSZ04,428,38305
2018-02-11T15:00:00.000+08:00,PLSZ04,482,39643
2018-02-11T16:00:00.000+08:00,PLSZ04,406,33729
2018-02-11T17:00:00.000+08:00,PLSZ04,406,33103
2018-02-11T18:00:00.000+08:00,PLSZ04,490,43073
2018-02-11T19:00:00.000+08:00,PLSZ04,486,40382
2018-02-11T20:00:00.000+08:00,PLSZ04,440,35330
2018-02-11T21:00:00.000+08:00,PLSZ04,455,33201
2018-02-11T22:00:00.000+08:00,PLSZ04,402,22523
2018-02-11T23:00:00.000+08:00,PLSZ04,219,6232
2018-02-11T00:00:00.000+08:00,BMSZ07,4178,2200740
2018-02-11T01:00:00.000+08:00,BMSZ07,1037,514838
2018-02-11T02:00:00.000+08:00,BMSZ07,290,85332
2018-02-11T03:00:00.000+08:00,BMSZ07,220,50082
2018-02-11T04:00:00.000+08:00,BMSZ07,190,46717
2018-02-11T05:00:00.000+08:00,BMSZ07,203,43657
2018-02-11T06:00:00.000+08:00,BMSZ07,311,81088
2018-02-11T07:00:00.000+08:00,BMSZ07,562,122838
2018-02-11T08:00:00.000+08:00,BMSZ07,1172,241727
2018-02-11T09:00:00.000+08:00,BMSZ07,1764,309720
2018-02-11T10:00:00.000+08:00,BMSZ07,1979,306132
2018-02-11T11:00:00.000+08:00,BMSZ07,2033,255616
2018-02-11T12:00:00.000+08:00,BMSZ07,2088,263651
2018-02-11T13:00:00.000+08:00,BMSZ07,2283,290888
2018-02-11T14:00:00.000+08:00,BMSZ07,2303,296290
2018-02-11T15:00:00.000+08:00,BMSZ07,2049,245257
2018-02-11T16:00:00.000+08:00,BMSZ07,2057,258927
2018-02-11T17:00:00.000+08:00,BMSZ07,2307,245209
2018-02-11T18:00:00.000+08:00,BMSZ07,2340,277531
2018-02-11T19:00:00.000+08:00,BMSZ07,2020,220518
2018-02-11T20:00:00.000+08:00,BMSZ07,1565,155616
2018-02-11T21:00:00.000+08:00,BMSZ07,1139,98788
2018-02-11T22:00:00.000+08:00,BMSZ07,819,48180
2018-02-11T23:00:00.000+08:00,BMSZ07,340,10106
